SBC,Token Count,Type Count,TTR
SBC001,5583,762,0.136485760343901
SBC002,5247,937,0.178578235182009
SBC003,5204,1018,0.195618754803997
SBC004,5070,909,0.179289940828402
SBC005,3250,676,0.208
SBC006,6798,1155,0.169902912621359
SBC007,3339,705,0.211141060197664
SBC008,5419,772,0.142461708802362
SBC009,2887,425,0.14721163837894
SBC010,4015,653,0.162640099626401
SBC011,3654,745,0.203886152162014
SBC012,4205,869,0.206658739595719
SBC013,7184,1179,0.164114699331849
SBC014,5486,987,0.179912504557054
SBC015,7287,1153,0.158226979552628
SBC016,5129,773,0.150711639695847
SBC017,4436,886,0.199729486023445
SBC018,1975,498,0.252151898734177
SBC019,4586,922,0.201046663759267
SBC020,4367,815,0.186626975040073
SBC021,5232,908,0.173547400611621
SBC022,2774,578,0.208363374188897
SBC023,5581,907,0.162515678193872
SBC024,3039,520,0.171108917407042
SBC025,3844,818,0.212799167533819
SBC026,4371,931,0.212994738046214
SBC027,3607,637,0.17660105350707
SBC028,5204,850,0.163335895465027
SBC029,5302,726,0.136929460580913
SBC030,3992,752,0.188376753507014
SBC031,5409,880,0.162691809946386
SBC032,6683,1093,0.163549304204698
SBC033,2697,584,0.216536892843901
SBC034,2913,690,0.23686920700309
SBC035,5478,943,0.17214311792625
SBC036,6794,974,0.143361789814542
SBC037,3522,759,0.215502555366269
SBC038,4063,880,0.216588727541226
SBC039,4885,868,0.177686796315251
SBC040,4111,944,0.229627827779129
SBC041,3522,586,0.166382737081204
SBC042,3020,640,0.211920529801325
SBC043,6769,1004,0.148323238292214
SBC044,7029,924,0.131455399061033
SBC045,4703,873,0.185626196045078
SBC046,3227,636,0.197087077781221
SBC047,4520,785,0.173672566371681
SBC048,3044,561,0.184296977660972
SBC049,4842,930,0.192069392812887
SBC050,3365,689,0.204754829123328
SBC051,5918,1092,0.184521797904698
SBC052,6177,1051,0.170147320705844
SBC053,3809,747,0.196114465739039
SBC054,3034,582,0.191825972313777
SBC055,3508,768,0.218928164196123
SBC056,7177,1194,0.166364776368956
SBC057,4004,643,0.160589410589411
SBC058,3902,801,0.205279343926192
SBC059,6730,1040,0.154531946508172
SBC060,4408,858,0.19464609800363
